Nama,Nama Toko,Lokasi,Harga,Terjual,Rating,Gambar
Pluvia - ANNE Sepatu Flat Shoes Wanita Quilted,Pluvia Shoes,Bogor,Rp79.000Rp135.000,1rb+ terjual,4.9,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
NF6178 - Sandal Flat Shoes Motif Mutiara Fashion Wanita Kekinian,Newfashionsid,Jakarta Barat,Rp135.000,10 terjual,5.0,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
NF4870 - Sandal Flat Shoes Tweed Wanita Sandal Flat Shoes Kekinian,Newfashionsid,Jakarta Barat,Rp128.000,14 terjual,5.0,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
Sepatu Flat Shoes Anak Perempuan Unicorn Glossy HORN,Hukkies Babys,Jakarta Pusat,Rp135.000,100+ terjual,4.9,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
TORY SHOES SEPATU WANITA FLAT SHOES WOMEN TORY TB SHEEPSKIN STB01 STB 02 KULIT,FactoryOutletStuff,Jakarta Barat,Rp750.000,7 terjual,5.0,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
TLTSN [OE] HANNY Flatshoes Sepatu Wanita Maroon [TSN0002185.C0020],The Little Things She Needs,Jakarta Selatan,Rp109.000Rp249.000,40+ terjual,5.0,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
WINOD Tyra Flatshoes Wanita / Flatshoes Kerja / Flatshoes Balet / Flatshoes Casual,Winod Official,Tangerang,Rp79.900Rp83.900,2rb+ terjual,4.9,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
TLTSN [OE] SIA Flatshoes Sepatu Wanita Black/Beige/Sage,The Little Things She Needs,Jakarta Selatan,Rp89.000Rp229.000,70+ terjual,4.9,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
SAKAKI Alexa -Sepatu Wanita Flatshoes,Sandal Kanan Kiri,Kab. Mojokerto,Rp55.000,250+ terjual,4.9,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
Berrybenka - Sepatu Flatshoes Comfy Wanita Sofia Madanya Braided Flat,Berrybenka,Tangerang Selatan,Rp107.000Rp349.000,50+ terjual,5.0,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
Flat shoe Black leather Import Branded  Wanita VVIP Quality,Moca_FashionLuxee,Jakarta Utara,Rp1.300.000,,,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
New Color series Freya Sandal Flat shoes Sandal Sepatu by LAPEPA,Geege Shop,Kab. Bogor,Rp99.900,50+ terjual,4.9,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
DR flat shoes nude beige VVIP quality,Ivory haus,Jakarta Utara,Rp1.400.000,1 terjual,5.0,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
Leather Flat Shoe Slingback Wanita VVIP Quality Black,Moca_FashionLuxee,Jakarta Utara,Rp1.350.000,,,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
Piatta Double Strap Black - Nappa Milano - Sepatu Flat Wanita,Nappa Milano,Kab. Tangerang,Rp589.000,8 terjual,4.0,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
Pluvia - ANNE Sepatu Flat Shoes Wanita Quilted,Pluvia Shoes,Bogor,Rp79.000Rp135.000,1rb+ terjual,4.9,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
SH56 Sepatu Wanita Canvas Jean Star Women Flat Shoes,EnnWen Online Store,Jakarta Barat,Rp39.800,2rb+ terjual,4.9,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
Bellashoesjkt Jodha Flatshoes Wanita,Bellashoesjkt Official,Depok,Rp85.000,250+ terjual,4.9,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
TLTSN [OE] SHIN Flatshoes Sepatu Wanita Dark Brown [TSN0002281.C0057],The Little Things She Needs,Jakarta Selatan,Rp129.000Rp249.000,28 terjual,4.8,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
SEVATU - Moxha Flatshoes,Sevatuofficial,Tasikmalaya,Rp179.900,100+ terjual,4.9,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
"Asha Leather || Clover || Flat Shoes White || Sepatu Mules || Sepatu Kulit - Putih, 36",ASHA Leather Garut,Kab. Garut,Rp268.400Rp305.000,,,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
Flat Shoe Wanita VVIP Quality Import Branded Nude Ribbon,Moca_FashionLuxee,Jakarta Utara,Rp1.400.000,,,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
First Light - Vienne - Sepatu Flat Shoes Wanita - 42,First Light Apparel,Bandung,Rp186.750Rp249.000,6 terjual,5.0,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
"STB17 TB sandals slippers fashion women's shoes flat shoes - BLACK, 36",FactoryOutletStuff,Jakarta Barat,Rp720.000,,,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
Ballet Flat Shoe Embossed Wanita VVIP Quality Import Branded Nude Logo,Moca_FashionLuxee,Jakarta Utara,Rp1.400.000,,,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
TERBARU TERMURAH FLATSHOES WANITA/SEPATU BALET WANITA PITA,Djstyle,Kab. Bogor,Rp15.120,50+ terjual,3.8,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
Crankbrothers Shoes Street Fabio Wibmer Flat Black Gold,SAE BIKE,Tangerang Selatan,Rp1.088.750Rp1.675.000,5 terjual,5.0,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
Berrybenka - Sepatu Flatshoes Comfy Wanita Sofia Manara Slingback Flat,Berrybenka,Tangerang Selatan,Rp134.000Rp349.000,30+ terjual,4.9,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
Sepatu Wanita Flat Shoes Murah Kulit Teplek BLD0808,DETECTOR,Kab. Bogor,Rp55.000,500+ terjual,4.8,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
Terbaru Flat Shoes Terlaris Dari Fladeo,gsmj,Kab. Bantul,Rp72.000,40+ terjual,4.9,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
